category,model_id,.cc3d,.cps,.f,.graphml,.inp,.java,.m,.mat,.ode,.omex,.pkl,.py,.sbml,.sci,.sedml,.sif,.svg,.tsv,.vcml,.xml,.xpp,.yaml,.zip
tuberculosis_files,MODEL1911120004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tuberculosis_files,MODEL2203300001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tuberculosis_files,BIOMD0000000222,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,0
tuberculosis_files,MODEL1411110000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0
tuberculosis_files,BIOMD0000000608,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,1,0,0,2,0,0,1
tuberculosis_files,MODEL1011090001,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0
tuberculosis_files,BIOMD0000000582,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0
tuberculosis_files,BIOMD0000001034,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0
tuberculosis_files,BIOMD0000001095,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,2,1,0,0
dengue_files,MODEL2311070005,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dengue_files,MODEL2311070002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dengue_files,MODEL2311070003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dengue_files,MODEL2311070004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dengue_files,MODEL2003160002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dengue_files,MODEL2003190001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dengue_files,MODEL2311070001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dengue_files,MODEL2311070006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dengue_files,MODEL2311070007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hiv_files,BIOMD0000000707,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0
hiv_files,MODEL1006230055,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0
hiv_files,BIOMD0000000874,0,1,0,0,0,0,5,0,2,0,0,0,0,0,1,0,1,0,0,3,0,0,0
hiv_files,BIOMD0000000875,0,1,0,0,0,0,5,0,2,0,0,0,0,0,1,0,1,0,1,3,0,0,0
hiv_files,BIOMD0000000872,0,1,0,0,0,0,5,0,2,0,0,0,0,0,1,0,1,0,1,3,0,0,0
hiv_files,MODEL4028801312,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0
hiv_files,MODEL1302180001,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0
hiv_files,BIOMD0000000573,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,0
hiv_files,MODEL1805230001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hiv_files,MODEL1006230035,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0
hiv_files,MODEL1006230050,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0
hiv_files,MODEL1006230033,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0
hiv_files,MODEL8102792069,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0
hiv_files,MODEL1006230093,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0
hiv_files,BIOMD0000000967,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
hiv_files,BIOMD0000000683,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0
hiv_files,BIOMD0000000876,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0
hiv_files,BIOMD0000000663,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0
hiv_files,MODEL1302180002,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0
hiv_files,MODEL2503040001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1
hiv_files,MODEL1812040004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hiv_files,MODEL1006230075,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0
hiv_files,MODEL1006230081,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0
