model_id,disease_category,publication_year,year_source,journal,doi
BIOMD0000000851,influenza_files,2019,publication_block,Journal of theoretical biology,
BIOMD0000000528,influenza_files,2014,publication_block,Journal of theoretical biology,
BIOMD0000000529,influenza_files,2014,publication_block,Journal of theoretical biology,
BIOMD0000000712,influenza_files,2014,publication_block,Bio Systems,
BIOMD0000000865,influenza_files,2019,publication_block,Frontiers in immunology,
BIOMD0000000710,influenza_files,2012,publication_block,Elsevier BV,10.3182/20120829-3-hu-2029.00029
BIOMD0000000717,influenza_files,2018,publication_block,Elsevier BV,10.1016/j.idm.2018.03.004
BIOMD0000000716,influenza_files,2018,publication_block,Elsevier BV,10.1016/j.idm.2018.03.004
BIOMD0000000711,influenza_files,2007,publication_block,Journal of theoretical biology,
BIOMD0000000546,influenza_files,2010,publication_block,Journal of virology,
BIOMD0000001045,influenza_files,2022,publication_block,"Loci/JOMA, Periodicals,  MAA Publications",
